graphOrder,graphType,graphMeanDegree,graphIndex,simCounter,gossipType,meanL1AbsoluteError,varL1AbsoluteError,meanL2Error,varL2Error,meanRounds,varRounds,meanEffectiveRounds,varEffectiveRounds,meanWastedRounds,varWastedRounds,meanMessages,varMessages,meanBusyMessages,varBusyMessages,meanSharedNeighbors,stoppingThreshold
400,SF,19.50000000000001,0,0,PUSHPULL,5.722863590604391E-5,5.6884163774227104E-9,8.949312104145705E-9,1.2868726779181387E-15,59.495000000000005,590.0501002506264,46.419999999999995,388.7153884711778,13.075000000000006,65.47000000000001,65.47000000000001,590.8412030075189,5.974999999999999,1.6434837092731829,1.3838345865,3
400,SF,19.50000000000001,0,1,PUSHPULL,6.389511005744417E-5,4.148214421540447E-9,8.220428974739495E-9,3.783717377982552E-16,94.83000000000003,2941.7655137844604,77.69999999999997,2241.929824561402,17.13000000000001,98.79750000000008,98.79750000000008,2959.2446052631594,3.967500000000002,1.3698684210526313,1.3838345865,3
400,SF,19.50000000000001,0,2,PUSHPULL,6.90444754190256E-5,9.126222596842357E-9,1.3870546626238685E-8,6.536930549191925E-15,133.07500000000002,9869.162280701748,112.24249999999998,7983.8683646616555,20.832499999999996,136.48000000000008,136.48000000000008,9805.122406015034,3.404999999999998,1.0987218045112774,1.3838345865,3
400,SF,19.50000000000001,0,3,PUSHPULL,7.859949555073579E-5,8.451160952181637E-9,1.4607913750631318E-8,2.6019241383218557E-15,115.84500000000001,7804.577418546365,97.035,6438.224335839595,18.81000000000001,118.70000000000007,118.70000000000007,7790.701754385965,2.8549999999999978,1.1067418546365908,1.3838345865,3
400,SF,19.50000000000001,0,4,PUSHPULL,8.97672227131563E-5,1.9394830916210053E-8,2.7404498112552926E-8,1.7600569936427688E-14,128.4,9079.273182957395,108.50249999999993,7468.801998746874,19.89749999999999,131.1424999999999,131.1424999999999,9055.125006265667,2.742499999999999,1.1691165413533842,1.3838345865,3
400,SF,19.50000000000001,0,5,PUSHPULL,7.685276924934954E-5,2.423549500096317E-8,3.0081254404754526E-8,8.983332032348991E-14,137.35500000000005,10945.066641604011,115.82000000000002,8734.373533834587,21.534999999999965,139.64249999999996,139.64249999999996,10915.378139097746,2.2874999999999988,0.8269110275689218,1.3838345865,3
400,SF,19.50000000000001,0,6,PUSHPULL,1.1122472263290324E-4,4.2155393255613684E-8,5.442094369724092E-8,3.270765843535686E-13,156.895,15649.086691729332,133.43000000000006,12561.208120300755,23.464999999999996,159.5225,159.5225,15574.199993734328,2.6275000000000013,1.2568859649122819,1.3838345865,3
400,SF,19.50000000000001,0,7,PUSHPULL,1.62574002300104E-4,2.5467470071294175E-7,2.804683201850336E-7,1.6922439559085993E-11,149.94499999999996,13393.29020050125,126.38000000000011,10872.04070175438,23.564999999999994,152.60249999999988,152.60249999999988,13322.425557644116,2.657499999999999,1.2683646616541362,1.3838345865,3
400,SF,19.50000000000001,0,8,PUSHPULL,3.8248641980700494E-4,1.1231048906928452E-5,1.1349267145997902E-5,5.07160014397567E-8,195.31499999999986,23177.359172932345,167.69749999999993,19114.371923558894,27.617500000000007,197.3775,197.3775,23062.380946115296,2.062499999999999,1.0361842105263155,1.3838345865,3
400,SF,19.50000000000001,0,9,PUSHPULL,1.1151794218246017E-4,2.4024446189891215E-8,3.640063650302703E-8,3.9105321783712345E-14,172.5800000000001,23717.552481203005,147.3600000000001,19709.65954887218,25.22,175.07250000000008,175.07250000000008,23585.32054511279,2.4924999999999984,1.1428007518796985,1.3838345865,3
400,SF,19.50000000000001,0,10,PUSHPULL,1.1950172682216759E-4,6.967728808463446E-8,8.37837575779029E-8,8.740598776427076E-13,144.07499999999987,10595.828947368425,121.53999999999996,8329.632481203005,22.534999999999986,146.32749999999996,146.32749999999996,10537.884956140351,2.2524999999999986,0.880946115288221,1.3838345865,3
400,SF,19.50000000000001,0,11,PUSHPULL,1.381117220360358E-4,3.970945776289389E-8,5.8685031882245886E-8,1.565416095465073E-13,165.08999999999983,14453.901654135336,140.09000000000003,11633.605914786971,25.000000000000007,167.53500000000003,167.53500000000003,14375.853408521316,2.444999999999998,1.0345614035087718,1.3838345865,3
400,SF,19.50000000000001,0,12,PUSHPULL,1.1276014614601062E-4,1.8397329190985103E-8,3.106618642687731E-8,7.102125713078077E-15,180.27499999999986,22651.277568922324,154.76500000000004,18625.488496240603,25.509999999999973,182.61250000000013,182.61250000000013,22562.137687969916,2.3374999999999995,1.0211466165413539,1.3838345865,3
400,SF,19.50000000000001,0,13,PUSHPULL,9.171100962780896E-5,1.6610860210592373E-8,2.4980242347017977E-8,1.4618051189995776E-14,163.85000000000002,18683.11027568924,139.63500000000008,15017.189749373438,24.215000000000003,166.2874999999999,166.2874999999999,18612.445958646622,2.4375,1.3544799498746873,1.3838345865,3
400,SF,19.50000000000001,0,14,PUSHPULL,1.0120890680546551E-4,2.3959637954836E-8,3.41429816767063E-8,2.9975504860658876E-14,141.86499999999998,12902.3877443609,120.34000000000009,10330.72120300751,21.52499999999999,144.4700000000001,144.4700000000001,12871.101854636581,2.605,1.0115037593984961,1.3838345865,3
400,SF,19.50000000000001,0,15,PUSHPULL,1.346345468320703E-4,4.452533975716881E-8,6.254048760845277E-8,1.1458703628679718E-13,177.28000000000003,21803.781052631577,151.43,17829.117894736824,25.849999999999998,179.51499999999984,179.51499999999984,21698.455914786977,2.2349999999999985,1.1576691729323312,1.3838345865,3
400,SF,19.50000000000001,0,16,PUSHPULL,9.458630768858637E-5,1.854694112090724E-8,2.744714337026491E-8,2.6646731479419664E-14,163.78499999999994,17693.076466165414,139.78000000000011,14743.891328320804,24.00499999999998,166.27999999999975,166.27999999999975,17634.337443609023,2.4949999999999997,0.9072431077694229,1.3838345865,3
400,SF,19.50000000000001,0,17,PUSHPULL,1.0293647670745309E-4,4.3588759442763656E-8,5.407570578110081E-8,2.085038248984057E-13,171.35499999999985,19266.019022556404,146.7675,15822.063602756889,24.587499999999995,173.7550000000002,173.7550000000002,19208.977418546372,2.400000000000001,1.0225563909774436,1.3838345865,3
