graphOrder,graphType,graphMeanDegree,graphIndex,simCounter,gossipType,meanL1AbsoluteError,varL1AbsoluteError,meanL2Error,varL2Error,meanRounds,varRounds,meanEffectiveRounds,varEffectiveRounds,meanWastedRounds,varWastedRounds,meanMessages,varMessages,meanBusyMessages,varBusyMessages,meanSharedNeighbors,stoppingThreshold
600,SF,19.6666666666667,0,0,WEIGHTED,1.01716992512779E-05,5.2777481849114E-11,1.56152985037813E-10,4.39169258843335E-20,11.1183333333333,0.955923761825264,8.10833333333333,0.978227601558151,3.01,225.528333333333,225.528333333333,26838.0359237618,0,0,1.0419755147,3
600,SF,19.6666666666667,0,1,WEIGHTED,2.39311467567593E-05,2.56935055458464E-10,8.29206615459587E-10,1.00062826461575E-18,13.21,1.36818030050084,10.1083333333333,1.53582359488035,3.10166666666666,267.483333333333,267.483333333333,36113.642459655,0,0,1.0419755147,3
600,SF,19.6666666666667,0,2,WEIGHTED,1.63645135076762E-05,1.15397302737297E-10,3.83002276242318E-10,2.21873598643861E-19,12.98,1.09141903171953,9.94833333333334,1.15091541457986,3.03166666666667,262.986666666667,262.986666666667,36401.7093377852,0,0,1.0419755147,3
600,SF,19.6666666666667,0,3,WEIGHTED,2.35271241682431E-05,1.9562801915395E-10,7.4882754408329E-10,5.7939895956496E-19,13.8683333333333,1.33655815247635,10.7816666666667,1.5666082359488,3.08666666666666,281.213333333333,281.213333333333,41446.251574847,0,0,1.0419755147,3
600,SF,19.6666666666667,0,4,WEIGHTED,2.3024709971635E-05,1.92905002769808E-10,7.22720763709767E-10,6.90286078178095E-19,13.8416666666667,1.30543962159154,10.7716666666667,1.47198386199221,3.07,280.585,280.585,40457.5019449082,0,0,1.0419755147,3
600,SF,19.6666666666667,0,5,WEIGHTED,1.85358122876631E-05,1.70071610414581E-10,5.1336449489404E-10,4.20066470881813E-19,13.7066666666667,1.16255982192543,10.6333333333333,1.34112409571508,3.07333333333333,277.45,277.45,39162.4816360601,0,0,1.0419755147,3
600,SF,19.6666666666667,0,6,WEIGHTED,1.55880944627313E-05,1.19734139739052E-10,3.62523271818519E-10,2.74523110580273E-19,12.8866666666667,1.16576516416249,9.86000000000001,1.22577629382304,3.02666666666667,261.76,261.76,36227.2010684474,0,0,1.0419755147,3
600,SF,19.6666666666667,0,7,WEIGHTED,1.44888118307039E-05,9.54562011339596E-11,3.05222775730947E-10,1.76859949153566E-19,12.9716666666667,1.11605731775181,9.87833333333334,1.33909571508069,3.09333333333333,262.88,262.88,35481.7318196995,0,0,1.0419755147,3
600,SF,19.6666666666667,0,8,WEIGHTED,2.00733900556523E-05,1.6322752765749E-10,5.65896470104421E-10,5.15717854310563E-19,13.8966666666667,1.42836950473011,10.8366666666667,1.59598219254313,3.06,281.515,281.515,40520.2201419032,0,0,1.0419755147,3
600,SF,19.6666666666667,0,9,WEIGHTED,1.60070479903098E-05,1.15750451693112E-10,3.71783119637704E-10,2.08939330639207E-19,12.835,1.17974123539232,9.81,1.22928213689482,3.025,259.888333333334,259.888333333334,34949.3113828603,0,0,1.0419755147,3
600,SF,19.6666666666667,0,10,WEIGHTED,2.16293658600824E-05,1.75857097614154E-10,6.43393469960765E-10,4.51804485123765E-19,13.92,1.25235392320534,10.8366666666667,1.45908736783528,3.08333333333333,282.27,282.27,41103.8568614357,0,0,1.0419755147,3
600,SF,19.6666666666667,0,11,WEIGHTED,1.53915602581561E-05,1.14585518817719E-10,3.51294670133474E-10,2.72609270615614E-19,13.1983333333333,1.1208653311074,10.1716666666667,1.18750973845298,3.02666666666667,267.343333333334,267.343333333334,37315.5814245965,0,0,1.0419755147,3
600,SF,19.6666666666667,0,12,WEIGHTED,2.61525484362081E-05,2.57181556510041E-10,9.4070871029074E-10,1.10949605332405E-18,13.8783333333333,1.58617417918753,10.8083333333333,1.74450473010573,3.07,281.661666666666,281.661666666666,43035.6132192543,0,0,1.0419755147,3
600,SF,19.6666666666667,0,13,WEIGHTED,2.11819560619397E-05,1.82146399428395E-10,6.3051808470596E-10,5.82386379874108E-19,13.3416666666667,1.2269755147468,10.2816666666667,1.38797718419588,3.06,269.781666666666,269.781666666666,36876.241065665,0,0,1.0419755147,3
600,SF,19.6666666666667,0,14,WEIGHTED,1.48998364261564E-05,9.63021052521063E-11,3.18146727269569E-10,1.60003715154872E-19,13.3266666666667,1.01498052309405,10.2716666666667,1.13976349471341,3.055,270.193333333333,270.193333333333,38133.2213244296,0,0,1.0419755147,3
