graphOrder,graphType,graphMeanDegree,graphIndex,simCounter,gossipType,meanL1AbsoluteError,varL1AbsoluteError,meanL2Error,varL2Error,meanRounds,varRounds,meanEffectiveRounds,varEffectiveRounds,meanWastedRounds,varWastedRounds,meanMessages,varMessages,meanBusyMessages,varBusyMessages,meanSharedNeighbors,stoppingThreshold
400,SF,19.50000000000001,0,0,PUSHSUM,6.030088158703876E-7,6.708679595267039E-13,1.0328104216452945E-12,1.2915503199500412E-23,63.01500000000001,14.656416040100265,48.05999999999998,60.15679197994991,14.954999999999998,63.01500000000001,63.01500000000001,14.656416040100265,0.0,0.0,1.3838345865,24
400,SF,19.50000000000001,0,1,PUSHSUM,4.838268581522365E-7,6.349660064702791E-13,8.674670201235665E-13,1.915214391222994E-23,61.0675,10.970369674185445,46.415000000000035,53.822330827067724,14.6525,61.0675,61.0675,10.970369674185445,0.0,0.0,1.3838345865,24
400,SF,19.50000000000001,0,2,PUSHSUM,6.967279276853809E-7,1.1753651463491478E-12,1.6578565387000405E-12,7.359140161180947E-23,61.75500000000003,11.463634085213025,47.10249999999996,53.10475563909778,14.652500000000003,61.75500000000003,61.75500000000003,11.463634085213025,0.0,0.0,1.3838345865,24
400,SF,19.50000000000001,0,3,PUSHSUM,8.586951810232726E-7,7.501350793377388E-12,8.219954830306534E-12,1.7368610006125062E-20,63.74000000000002,15.080100250626552,49.13250000000003,61.53879072681699,14.607499999999996,63.74000000000002,63.74000000000002,15.080100250626552,0.0,0.0,1.3838345865,24
400,SF,19.50000000000001,0,4,PUSHSUM,6.278721257751972E-7,1.3402038881731757E-12,1.7310767847782091E-12,1.5856011371639264E-22,61.25249999999995,11.492474937343363,46.900000000000034,53.799498746867165,14.352499999999996,61.25249999999995,61.25249999999995,11.492474937343363,0.0,0.0,1.3838345865,24
400,SF,19.50000000000001,0,5,PUSHSUM,6.584133889184225E-7,1.1800836361058956E-12,1.610641617722673E-12,1.642442953174718E-22,63.29250000000004,11.681146616541351,48.672500000000056,54.75713659147867,14.619999999999994,63.29250000000004,63.29250000000004,11.681146616541351,0.0,0.0,1.3838345865,24
400,SF,19.50000000000001,0,6,PUSHSUM,7.829457719976672E-7,1.200980385782815E-12,1.8109820167073827E-12,6.680295923237562E-23,62.18,11.516390977443612,47.88749999999999,49.9296679197995,14.2925,62.18,62.18,11.516390977443612,0.0,0.0,1.3838345865,24
400,SF,19.50000000000001,0,7,PUSHSUM,7.5201344793524E-7,2.2640535255466717E-12,2.8239176176082504E-12,5.97853227838786E-22,62.59249999999997,12.342299498746856,48.07499999999997,56.71115288220544,14.517499999999995,62.59249999999997,62.59249999999997,12.342299498746856,0.0,0.0,1.3838345865,24
400,SF,19.50000000000001,0,8,PUSHSUM,6.140189854028643E-7,1.52921896215781E-12,1.9024152291875756E-12,4.687941864074175E-22,62.18249999999999,13.237286967418537,47.395,60.63556390977446,14.7875,62.18249999999999,62.18249999999999,13.237286967418537,0.0,0.0,1.3838345865,24
400,SF,19.50000000000001,0,9,PUSHSUM,1.725462873925497E-6,5.864601913738601E-10,5.879712630247204E-10,1.3794670272125826E-16,60.924999999999976,12.580827067669166,46.334999999999994,60.213308270676755,14.589999999999993,60.924999999999976,60.924999999999976,12.580827067669166,0.0,0.0,1.3838345865,24
