graphOrder,graphType,graphMeanDegree,graphIndex,simCounter,gossipType,meanL1AbsoluteError,varL1AbsoluteError,meanL2Error,varL2Error,meanRounds,varRounds,meanEffectiveRounds,varEffectiveRounds,meanWastedRounds,varWastedRounds,meanMessages,varMessages,meanBusyMessages,varBusyMessages,meanSharedNeighbors,stoppingThreshold
600,SF,19.66666666666665,0,0,WEIGHTED,7.309555452764687E-6,2.5364774025482688E-11,7.875210031914878E-11,1.0170526345773499E-20,11.458333333333345,2.1184613244296107,11.458333333333345,2.1184613244296107,0.0,222.0116666666666,222.0116666666666,16446.719396215907,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,1,WEIGHTED,1.0327275439941574E-5,6.938734293820727E-11,1.7592431537906398E-10,8.058990470113991E-20,9.659999999999995,0.9626711185308829,9.659999999999995,0.9626711185308829,0.0,196.275,196.275,20569.98267946577,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,2,WEIGHTED,1.8826934983427834E-5,1.8638562703329221E-10,5.405284651917889E-10,5.108593583321999E-19,9.988333333333328,1.1567918753478008,9.988333333333328,1.1567918753478008,0.0,201.05499999999992,201.05499999999992,19914.01199499165,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,3,WEIGHTED,1.572717993742369E-5,1.445709571935277E-10,3.916741943823067E-10,3.815980741766046E-19,10.088333333333331,1.0188953811908732,10.088333333333331,1.0188953811908732,0.0,205.2283333333336,205.2283333333336,23369.992851975512,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,4,WEIGHTED,1.2739315095735377E-5,8.920083923277214E-11,2.5134232027581544E-10,1.0672993185672892E-19,9.990000000000014,1.0449749582637775,9.990000000000014,1.0449749582637775,0.0,202.36833333333348,202.36833333333348,21294.566942125784,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,5,WEIGHTED,1.597445222627189E-5,1.455560835865304E-10,4.0049661404332884E-10,3.1652498123236306E-19,10.196666666666669,1.1899721758486383,10.196666666666669,1.1899721758486383,0.0,206.73999999999998,206.73999999999998,22910.062504173584,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,6,WEIGHTED,1.9498568977648737E-5,1.8875279676157524E-10,5.686324009430974E-10,4.799333949627357E-19,10.903333333333318,1.2293711741791857,10.903333333333318,1.2293711741791857,0.0,219.8916666666667,219.8916666666667,23832.931483027252,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,7,WEIGHTED,1.4712807341845475E-5,1.272176424649666E-10,3.434723129391203E-10,2.1995241964455E-19,10.100000000000005,1.1853088480801333,10.100000000000005,1.1853088480801333,0.0,204.76000000000005,204.76000000000005,22159.37469115192,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,8,WEIGHTED,1.879729467187821E-5,1.7373440133139994E-10,5.267831309772691E-10,3.9447658969161486E-19,10.741666666666662,1.4072760155815258,10.741666666666662,1.4072760155815258,0.0,216.22,216.22,23110.315459098485,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,9,WEIGHTED,2.240805753497165E-5,2.0417692032893542E-10,7.059576679523202E-10,6.679788160723666E-19,11.621666666666664,1.263970506399555,11.621666666666664,1.263970506399555,0.0,235.98166666666663,235.98166666666663,29223.78096549802,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,10,WEIGHTED,2.1569775945312445E-5,2.45754102628731E-10,7.105997467886619E-10,9.489884966393803E-19,10.753333333333343,1.2245297718419557,10.753333333333343,1.2245297718419557,0.0,218.25000000000006,218.25000000000006,25147.733722871468,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,11,WEIGHTED,2.023050444814359E-5,2.054279702194209E-10,6.143589004954134E-10,5.802940612339372E-19,11.19666666666667,1.2066666666666659,11.19666666666667,1.2066666666666659,0.0,226.99,226.99,26623.03829716194,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,12,WEIGHTED,2.3550316354608044E-5,2.526593644333311E-10,8.068556658947274E-10,8.172747510733495E-19,10.965,1.3927629382303834,10.965,1.3927629382303834,0.0,220.2666666666665,220.2666666666665,23098.459654980565,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,13,WEIGHTED,1.6145504692659503E-5,1.308557681106046E-10,3.913149969444438E-10,2.449669597026006E-19,10.82833333333333,1.094020589872007,10.82833333333333,1.094020589872007,0.0,218.88166666666652,218.88166666666652,24359.470114079024,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,14,WEIGHTED,1.7054938928977573E-5,1.3294663150855063E-10,4.2359599566052477E-10,2.7147911871837153E-19,10.866666666666672,1.1107401224262652,10.866666666666672,1.1107401224262652,0.0,219.23666666666668,219.23666666666668,23816.37795214246,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,15,WEIGHTED,1.5623230520354083E-5,1.2324001746758429E-9,1.4744315062768395E-9,8.164886823451815E-16,10.575000000000006,0.9993739565943248,10.575000000000006,0.9993739565943248,0.0,213.79333333333332,213.79333333333332,23438.077417918747,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,16,WEIGHTED,1.5109258577253317E-5,1.2247155298886949E-10,3.5055712848819065E-10,2.584195559046026E-19,11.443333333333344,1.0418586533110743,11.443333333333344,1.0418586533110743,0.0,232.35333333333335,232.35333333333335,28560.97344462994,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,17,WEIGHTED,2.0847123130739436E-5,1.8145426938114782E-10,6.157543884270573E-10,4.373028656079963E-19,11.423333333333323,1.1927768503060632,11.423333333333323,1.1927768503060632,0.0,231.20166666666668,231.20166666666668,27017.333219254313,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,18,WEIGHTED,1.3517329706953902E-5,8.351512605576307E-11,2.6609413658550177E-10,9.77930235522459E-20,10.90500000000001,0.937537562604342,10.90500000000001,0.937537562604342,0.0,220.80833333333328,220.80833333333328,25356.95318586532,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,19,WEIGHTED,1.7113297553115746E-5,1.2286232143135736E-10,4.155225040371155E-10,2.25991714724881E-19,10.780000000000008,1.3438397328881482,10.780000000000008,1.3438397328881482,0.0,218.87833333333316,218.87833333333316,25866.734755147463,0.0,0.0,1.0419755147,3
600,SF,19.66666666666665,0,20,WEIGHTED,2.0029526668636783E-5,1.9748442909842213E-10,5.983372269528895E-10,5.418493769939261E-19,10.731666666666671,1.3452392877017247,10.731666666666671,1.3452392877017247,0.0,215.7866666666668,215.7866666666668,22792.929371174174,0.0,0.0,1.0419755147,3
