graphOrder,graphType,graphMeanDegree,graphIndex,simCounter,gossipType,meanL1AbsoluteError,varL1AbsoluteError,meanL2Error,varL2Error,meanRounds,varRounds,meanEffectiveRounds,varEffectiveRounds,meanWastedRounds,varWastedRounds,meanMessages,varMessages,meanBusyMessages,varBusyMessages,meanSharedNeighbors,stoppingThreshold
200,SF,19.0,0,0,PUSHPULL,4.813277860368227E-5,1.9904379635437964E-9,4.297250149837168E-9,7.95541611804202E-17,54.050000000000004,489.0427135678394,20.994999999999983,93.0803768844221,33.05500000000005,59.94499999999999,59.94499999999999,494.28339195979936,5.894999999999999,1.8532412060301502,2.4095979899,3
200,SF,19.0,0,1,PUSHPULL,7.485593309766447E-5,9.51482695923299E-9,1.5070663544358847E-8,4.737879726136907E-15,107.94000000000003,6102.488844221101,44.77000000000001,1279.3237185929647,63.170000000000016,110.78999999999996,110.78999999999996,6101.34261306532,2.8499999999999996,0.9221105527638188,2.4095979899,3
200,SF,19.0,0,2,PUSHPULL,7.777641084430019E-5,7.225537431622324E-9,1.3238579828285594E-8,1.1939612658805423E-15,95.60999999999996,3043.113467336682,38.900000000000006,593.6080402010051,56.71000000000001,99.16499999999999,99.16499999999999,3017.7465075376904,3.5549999999999997,1.645201005025125,2.4095979899,3
200,SF,19.0,0,3,PUSHPULL,7.264772610620752E-5,6.234043875690199E-9,1.148056576471429E-8,8.826840629307057E-16,135.17000000000016,17737.74984924623,57.455,3810.0582663316577,77.71500000000003,137.40499999999994,137.40499999999994,17749.166809045222,2.2350000000000003,0.8640954773869347,2.4095979899,3
200,SF,19.0,0,4,PUSHPULL,1.1653806748028352E-4,7.183714776466658E-8,8.505908319788232E-8,7.659748195734648E-13,143.1000000000002,10327.949748743715,59.92999999999999,2058.618190954775,83.16999999999996,145.40000000000003,145.40000000000003,10262.251256281408,2.3000000000000003,1.045226130653266,2.4095979899,3
200,SF,19.0,0,5,PUSHPULL,2.4258506676808837E-4,1.2285732330293965E-7,1.8109055130530284E-7,6.087621569673242E-13,213.01000000000002,25878.45216080403,90.33499999999995,5134.776658291456,122.67500000000004,215.4099999999999,215.4099999999999,25756.22301507539,2.4,1.3366834170854274,2.4095979899,3
200,SF,19.0,0,6,PUSHPULL,1.1541607815318547E-4,3.1968113666909576E-8,4.5129144194837225E-8,3.1508744189023425E-14,181.70999999999998,25619.634070351767,78.38499999999999,5362.67012562814,103.32500000000006,183.88500000000002,183.88500000000002,25542.04198492461,2.175,1.0797738693467325,2.4095979899,3
200,SF,19.0,0,7,PUSHPULL,1.1700872580568068E-4,4.670282324970824E-8,6.016035104812862E-8,2.1084049324549285E-13,155.3700000000001,16843.540804020085,65.71500000000002,3619.923391959801,89.655,157.70999999999998,157.70999999999998,16772.679296482413,2.340000000000001,0.9792964824120605,2.4095979899,3
200,SF,19.0,0,8,PUSHPULL,1.1614224935705688E-4,3.7353411794732566E-8,5.065566682147568E-8,9.438134346251902E-14,167.69000000000005,19511.039095477383,71.515,3953.7987688442213,96.17499999999998,169.73499999999999,169.73499999999999,19394.457060301505,2.0450000000000004,1.1286180904522614,2.4095979899,3
200,SF,19.0,0,9,PUSHPULL,7.930768871366905E-5,1.1831058369488683E-8,1.8061612566745462E-8,7.453401122285835E-15,214.19000000000003,42765.74261306534,92.16999999999997,8816.764924623118,122.02000000000001,216.21500000000006,216.21500000000006,42601.305301507535,2.0250000000000004,0.6978643216080407,2.4095979899,3
