graphOrder,graphType,graphMeanDegree,graphIndex,simCounter,gossipType,meanL1AbsoluteError,varL1AbsoluteError,meanL2Error,varL2Error,meanRounds,varRounds,meanEffectiveRounds,varEffectiveRounds,meanWastedRounds,varWastedRounds,meanMessages,varMessages,meanBusyMessages,varBusyMessages,meanSharedNeighbors,stoppingThreshold
200,SF,19.0,0,0,WEIGHTED,6.385576297201486E-6,2.5249487062187847E-11,6.58988242742584E-11,8.465895888740172E-21,8.999999999999998,0.7939698492462315,8.999999999999998,0.7939698492462315,0.0,176.10000000000005,176.10000000000005,8764.713567839197,0.0,0.0,2.4095979899,3
200,SF,19.0,0,1,WEIGHTED,1.1568859395992282E-5,8.638516479371116E-11,2.1979174669398144E-10,1.215818952429733E-19,9.490000000000007,0.9647236180904535,9.490000000000007,0.9647236180904535,0.0,185.23000000000002,185.23000000000002,9603.022211055277,0.0,0.0,2.4095979899,3
200,SF,19.0,0,2,WEIGHTED,1.2776369162446063E-5,1.317529785218614E-10,2.94329822604355E-10,2.532621257650442E-19,9.505,0.914547738693467,9.505,0.914547738693467,0.0,186.7649999999999,186.7649999999999,10499.818869346733,0.0,0.0,2.4095979899,3
200,SF,19.0,0,3,WEIGHTED,1.4016784107433458E-5,1.498160861371996E-10,3.4553724242091254E-10,3.2680523358106926E-19,9.545000000000002,0.9929396984924611,9.545000000000002,0.9929396984924611,0.0,187.18499999999992,187.18499999999992,10167.508316582916,0.0,0.0,2.4095979899,3
200,SF,19.0,0,4,WEIGHTED,1.469561565723421E-5,1.2664661174182887E-10,3.4197449822826696E-10,2.495811190580028E-19,10.9,1.0452261306532662,10.9,1.0452261306532662,0.0,214.5099999999999,214.5099999999999,13858.592864321608,0.0,0.0,2.4095979899,3
200,SF,19.0,0,5,WEIGHTED,1.769998104263647E-5,1.6310522934702597E-10,4.755790321099815E-10,4.1813867414884956E-19,10.955,1.088417085427135,10.955,1.088417085427135,0.0,215.5450000000002,215.5450000000002,13973.967814070347,0.0,0.0,2.4095979899,3
200,SF,19.0,0,6,WEIGHTED,1.6969493260411415E-5,1.521944366593106E-10,4.3939716599116233E-10,3.6595536384127894E-19,10.959999999999999,1.073768844221105,10.959999999999999,1.073768844221105,0.0,216.41,216.41,14509.408944723627,0.0,0.0,2.4095979899,3
200,SF,19.0,0,7,WEIGHTED,9.591450055859706E-6,5.467681762139087E-11,1.463993477073351E-10,3.886942165059685E-20,10.410000000000005,0.7657286432160807,10.410000000000005,0.7657286432160807,0.0,204.18499999999995,204.18499999999995,12252.05103015076,0.0,0.0,2.4095979899,3
200,SF,19.0,0,8,WEIGHTED,1.8027745889490633E-5,2.717730254211661E-10,5.954137821501065E-10,4.6068221045951445E-18,10.969999999999999,1.2252261306532668,10.969999999999999,1.2252261306532668,0.0,215.69500000000005,215.69500000000005,14008.243190954772,0.0,0.0,2.4095979899,3
200,SF,19.0,0,9,WEIGHTED,1.7825063728670324E-5,1.5455501512789218E-10,4.71515136983411E-10,3.9916290184133524E-19,10.985000000000003,1.100276381909548,10.985000000000003,1.100276381909548,0.0,216.34000000000006,216.34000000000006,14190.145125628136,0.0,0.0,2.4095979899,3
200,SF,19.0,0,10,WEIGHTED,2.1249929296282005E-5,3.0074769144051505E-10,7.508034480802959E-10,1.7862635941084532E-18,10.509999999999994,1.3667336683417077,10.509999999999994,1.3667336683417077,0.0,205.36999999999998,205.36999999999998,12044.817185929644,0.0,0.0,2.4095979899,3
200,SF,19.0,0,11,WEIGHTED,1.3065666828573922E-5,9.207160332050431E-11,2.6232289497919843E-10,1.7166956891408846E-19,11.024999999999999,1.1300251256281406,11.024999999999999,1.1300251256281406,0.0,217.5900000000001,217.5900000000001,14789.760703517595,0.0,0.0,2.4095979899,3
200,SF,19.0,0,12,WEIGHTED,1.790771129126623E-5,1.6086381219252045E-10,4.80745616822902E-10,4.2403609938284027E-19,10.985000000000001,1.1203768844221103,10.985000000000001,1.1203768844221103,0.0,216.44000000000008,216.44000000000008,14226.41849246232,0.0,0.0,2.4095979899,3
200,SF,19.0,0,13,WEIGHTED,1.1852981023594555E-5,7.157493924133959E-11,2.1171022369082557E-10,7.436665489185115E-20,9.869999999999992,1.0282412060301487,9.869999999999992,1.0282412060301487,0.0,193.695,193.695,11364.27334170854,0.0,0.0,2.4095979899,3
200,SF,19.0,0,14,WEIGHTED,1.8801514955474325E-5,1.6952283861859252E-10,5.221721890464244E-10,4.4024866091769735E-19,10.859999999999998,1.1260301507537693,10.859999999999998,1.1260301507537693,0.0,213.61999999999995,213.61999999999995,13575.583517587933,0.0,0.0,2.4095979899,3
200,SF,19.0,0,15,WEIGHTED,1.7907290138309265E-5,1.5955343614305838E-10,4.794267090599313E-10,4.231183698151359E-19,10.985000000000001,1.1203768844221103,10.985000000000001,1.1203768844221103,0.0,216.44000000000008,216.44000000000008,14226.41849246232,0.0,0.0,2.4095979899,3
200,SF,19.0,0,16,WEIGHTED,1.9022733035409244E-5,1.6950704723027866E-10,5.305238841305772E-10,4.507322916493285E-19,10.929999999999996,1.2312562814070356,10.929999999999996,1.2312562814070356,0.0,214.89000000000001,214.89000000000001,13739.023015075372,0.0,0.0,2.4095979899,3
200,SF,19.0,0,17,WEIGHTED,1.3471784478399919E-5,9.833193073993847E-11,2.793292481186957E-10,1.3563137508789985E-19,10.315000000000001,1.010829145728643,10.315000000000001,1.010829145728643,0.0,201.7900000000001,201.7900000000001,11718.488341708548,0.0,0.0,2.4095979899,3
200,SF,19.0,0,18,WEIGHTED,1.3823753774906966E-5,1.1001240460576122E-10,3.00558511011987E-10,2.1748572821234422E-19,11.020000000000001,1.1955778894472362,11.020000000000001,1.1955778894472362,0.0,216.99,216.99,14226.271256281405,0.0,0.0,2.4095979899,3
200,SF,19.0,0,19,WEIGHTED,1.790224009116603E-5,1.6089058156341243E-10,4.805763289373474E-10,4.239257249133232E-19,10.985000000000001,1.1203768844221103,10.985000000000001,1.1203768844221103,0.0,216.44000000000008,216.44000000000008,14226.41849246232,0.0,0.0,2.4095979899,3
