graphOrder,graphType,graphMeanDegree,graphIndex,simCounter,gossipType,meanL1AbsoluteError,varL1AbsoluteError,meanL2Error,varL2Error,meanRounds,varRounds,meanEffectiveRounds,varEffectiveRounds,meanWastedRounds,varWastedRounds,meanMessages,varMessages,meanBusyMessages,varBusyMessages,meanSharedNeighbors,stoppingThreshold
400,SF,19.50000000000001,0,0,PUSHPULL,6.119868814898433E-5,4.301821134396291E-9,8.036346012716924E-9,4.95925632041649E-16,76.61499999999997,1078.1571679197996,30.69999999999999,238.68671679197996,45.91499999999996,83.99750000000002,83.99750000000002,1093.095231829574,7.382500000000002,3.9059586466165412,1.3838345865,3
400,SF,19.50000000000001,0,1,PUSHPULL,6.92240168094088E-5,6.999779237861292E-9,1.1774244292995954E-8,1.4312825885215973E-15,84.83999999999996,1667.6886215538852,34.317499999999974,333.6959335839598,50.522500000000015,89.55000000000001,89.55000000000001,1672.1228070175453,4.710000000000003,1.8455137844611544,1.3838345865,3
400,SF,19.50000000000001,0,2,PUSHPULL,9.537924908532476E-5,6.535411226564874E-8,7.428792814106508E-8,7.057424168384272E-13,176.07000000000005,21218.230676691714,75.60250000000003,4692.0395927318295,100.46750000000004,179.37500000000009,179.37500000000009,21163.46303258144,3.305000000000001,1.9167669172932345,1.3838345865,3
400,SF,19.50000000000001,0,3,PUSHPULL,8.126433306072441E-5,1.6344958075527653E-8,2.2907987508143176E-8,1.2496713700141756E-14,160.67999999999995,20669.541453634094,69.005,4411.829548872178,91.67499999999998,163.78499999999997,163.78499999999997,20602.680476190468,3.105000000000001,1.582932330827068,1.3838345865,3
400,SF,19.50000000000001,0,4,PUSHPULL,1.0085036108693214E-4,2.741135178784375E-8,3.751361873973875E-8,6.531097212367462E-14,129.245,7875.97992481203,54.21999999999999,1683.7660150375937,75.02499999999999,132.43999999999986,132.43999999999986,7846.637994987477,3.194999999999999,1.285187969924811,1.3838345865,3
400,SF,19.50000000000001,0,5,PUSHPULL,6.304099405195355E-5,5.276011847119326E-9,9.236988748559982E-9,8.938685231181135E-16,127.22000000000004,6579.82616541353,53.23500000000001,1471.6689473684207,73.98500000000008,130.7150000000001,130.7150000000001,6550.154160400998,3.494999999999999,1.3232832080200494,1.3838345865,3
400,SF,19.50000000000001,0,6,PUSHPULL,1.0463677180980624E-4,3.206783333493706E-8,4.2936517766377204E-8,1.236359494098986E-13,199.80999999999997,28787.76832080201,85.83250000000004,6263.337788220548,113.97749999999996,202.48749999999993,202.48749999999993,28710.907111528843,2.6775,0.9408458646616533,1.3838345865,3
400,SF,19.50000000000001,0,7,PUSHPULL,9.140560274269714E-5,2.138333211433769E-8,2.9684857996807627E-8,4.109889032892297E-14,120.23499999999999,7315.849398496238,50.754999999999995,1611.8696491228072,69.48000000000003,123.46499999999999,123.46499999999999,7290.87095238096,3.2300000000000013,1.480802005012532,1.3838345865,3
400,SF,19.50000000000001,0,8,PUSHPULL,1.2391150551463635E-4,5.595790764327037E-8,7.117207407306602E-8,3.2310812489819777E-13,188.18499999999983,22569.18874686716,80.245,4868.806992481204,107.94000000000001,191.20499999999996,191.20499999999996,22467.22102756891,3.019999999999999,1.3329323308270666,1.3838345865,3
400,SF,19.50000000000001,0,9,PUSHPULL,1.1807118449459061E-4,3.513159085168444E-8,4.8984566482510895E-8,1.286295328572056E-13,202.76,32409.305664160376,87.48499999999999,6766.646390977445,115.27500000000005,205.26999999999998,205.26999999999998,32264.077293233084,2.5100000000000025,1.2580451127819547,1.3838345865,3
400,SF,19.50000000000001,0,10,PUSHPULL,1.4559950684296178E-4,1.6059019268345452E-7,1.8138793359465943E-7,5.043488326439939E-12,179.98999999999998,26806.721704260664,77.22000000000006,5879.3950877192965,102.76999999999995,182.59250000000003,182.59250000000003,26688.587913533836,2.6025000000000014,1.1172869674185466,1.3838345865,3
400,SF,19.50000000000001,0,11,PUSHPULL,1.1889196366408063E-4,3.1533036488942086E-8,4.55895029216208E-8,6.797370277384021E-14,188.06000000000003,24289.30466165414,80.88000000000008,5154.176040100247,107.18000000000005,190.85749999999996,190.85749999999996,24168.348063909765,2.7975000000000017,1.530319548872181,1.3838345865,3
400,SF,19.50000000000001,0,12,PUSHPULL,9.82031034508263E-5,1.6900553767879932E-8,2.6502151910833934E-8,9.943615629610466E-15,202.09000000000015,27226.97433583958,87.29500000000003,5955.030551378443,114.79499999999999,204.77250000000012,204.77250000000012,27103.59974310778,2.6825000000000006,1.1144799498746867,1.3838345865,3
400,SF,19.50000000000001,0,13,PUSHPULL,1.058487975084707E-4,3.419010253299848E-8,4.530859521065524E-8,1.3238399363158183E-13,169.66500000000022,17088.293508771927,73.34000000000002,3768.3552882205513,96.32499999999996,172.1475000000001,172.1475000000001,16981.38420426065,2.4825,1.2979385964912273,1.3838345865,3
400,SF,19.50000000000001,0,14,PUSHPULL,1.1007971622428419E-4,3.316584400619657E-8,4.520047332019997E-8,8.805376481424061E-14,244.685,50742.86293233083,107.19749999999999,11420.093728070182,137.48750000000004,247.68249999999995,247.68249999999995,50563.74605889723,2.9975000000000005,1.3909711779448637,1.3838345865,3
400,SF,19.50000000000001,0,15,PUSHPULL,1.144146150746006E-4,2.6034553383497973E-8,3.906017114270828E-8,3.12684263704492E-14,187.55000000000007,19289.205513784447,80.055,4065.676165413532,107.49500000000005,190.1350000000001,190.1350000000001,19219.34012531327,2.5849999999999995,1.1406265664160393,1.3838345865,3
